URL,Title,Rating,Price_max,Price_min,Image
https://www.walmart.com/ip/12-x-15-Stat-Plaque-2015-NBA-Champions-Golden-State-Warriors/46009292,"12"" x 15"" Stat Plaque, 2015 NBA Champions Golden State Warriors",No rating available,29.99,29.99,https://i5.walmartimages.com/asr/e6c10cb0-cf10-4903-a0d4-d23ae8636c6e_1.fd9c5c547d06e1f88260eb58d53d3926.jpeg
https://www.walmart.com/ip/NBA-San-Antonio-Spurs-Big-Men-s-Short-Sleeve-Basic-Tee/54650827,NBA San Antonio Spurs Big Men's Short Sleeve Basic Tee,No rating available,16.88,16.88,https://i5.walmartimages.com/asr/363ac659-c77b-4e3d-a461-fbee50bb1613_1.5abe235903f4af7ce07f1db0aaddefc8.jpeg
https://www.walmart.com/ip/San-Antonio-Spurs-Adidas-NBA-Preferred-Logo-Men-s-Long-Sleeve-T-Shirt/161894060,"San Antonio Spurs Adidas NBA ""Preferred Logo"" Men's Long Sleeve T",No rating available,23.95,23.95,https://i5.walmartimages.com/asr/22b8300e-0dc3-4cd2-8f69-e4ffd2eeb84f_1.811db218d16574f9473804e5f2e7b864.jpeg
https://www.walmart.com/ip/San-Antonio-Spurs-Mitchell-Ness-NBA-Paintbrush-Cuffed-Premium-Pom-Knit-Hat/172947356,"San Antonio Spurs Mitchell & Ness NBA ""Paintbrush"" Cuffed Premium Pom Knit Hat",No rating available,24.95,24.95,https://i5.walmartimages.com/asr/bd78b6a2-5cb7-43d0-82d5-0d7f1f5b4560_1.207bc33549e579d5cee2ff9bd46102b2.jpeg
https://www.walmart.com/ip/Mitchell-Ness-San-Antonio-Spurs-2-Tone-Paint-Splatter-Snapback-White-Pink/48322269,Mitchell & Ness San Antonio Spurs 2,No rating available,28.0,28.0,https://i5.walmartimages.com/asr/d585a40a-f4d5-4083-8af6-f7f226477c5d_1.7d109232ba19b3e339cda184242f6c58.jpeg
https://www.walmart.com/ip/Rico-Industries-RIC-FGB91002-San-Antonio-Spurs-NBA-3in-x-5in-Banner-Flag/40376041,San Antonio Spurs NBA 3ft x 5ft Banner Flag,No rating available,27.95,27.95,https://i5.walmartimages.com/asr/a77b46be-7265-4cb0-8101-d67830549df1_1.ad844e140ea67bb07f135a1fc4df435a.jpeg
https://www.walmart.com/ip/Michael-Jordan-II-Framed-Photo-Collage-11x14-by-Legends-Never-Die/55084704,"Michael Jordan II Framed Photo Collage, 11x14, by Legends Never Die",No rating available,32.5,32.5,https://i5.walmartimages.com/asr/bd562df8-f247-402e-b4a9-b21fc7b048cd_1.28cfd1fe00cc2f9ef667a57c0a10e5e0.jpeg
https://www.walmart.com/ip/Hot-Stuff-Enterprise-Z137-24x36-NA-Michael-Jordan-Collage-Painting-Poster-24-x-36/47838116,Hot Stuff Enterprise Z137,No rating available,9.3,9.3,https://i5.walmartimages.com/asr/6941fe62-cc17-491d-84ef-2378adae56aa_1.c0942960582f9b4fecc3bba2db321f8e.jpeg
https://www.walmart.com/ip/Michael-Jordan/8096119,Michael Jordan,No rating available,4.19,4.19,https://i5.walmartimages.com/asr/416c56f1-4616-4be0-a964-922f8f817fdb_1.f0fefed7113a2f3c186ff66dcbfbc4fa.jpeg
https://www.walmart.com/ip/NBA-Hardwood-Classics-Michael-Jordan-Come-Fly-With-Me/40497516,NBA Hardwood Classics: Michael Jordan,No rating available,9.29,9.29,https://i5.walmartimages.com/asr/5e11a939-09ae-4054-a042-0c9e1cb779e2_1.424f72d43126f968a310525a6b187475.jpeg
https://www.walmart.com/ip/Michael-Jordan-Speaks-Lessons-World-s-Greatest-Champion/25951839,Michael Jordan Speaks: Lessons from the World's Greatest Champion,No rating available,18.62,18.62,https://i5.walmartimages.com/asr/9254759d-2dc6-4523-8e24-08827a47d99c_1.0712edc61ca1736b7cde11807dd4d429.jpeg
https://www.walmart.com/ip/Stephen-Curry-Golden-State-Warriors-Youth-Gametime-Name-And-Number-T-Shirt-Royal/137529795,Stephen Curry Golden State Warriors Youth Gametime Name And Number T,No rating available,21.95,21.95,https://i5.walmartimages.com/asr/b8e3299e-74f3-4515-ac1b-5c654f368b62_1.7ce3e4928519ee1f38f1e0ba21da5c1e.jpeg
https://www.walmart.com/ip/Trends-Golden-State-Warriors-S-Curry-15/146713970,Stephen Curry Golden State Warriors NBA Basketball Sports Poster 22x34,No rating available,9.95,9.95,https://i5.walmartimages.com/asr/4e0b22e6-cc53-4ede-9ac4-4fa6c6363d68_1.102ef6d47c1a8c5c26ccf5716b8f9c3f.jpeg
