url,title,rating,price_min,price_max,image,category
https://www.amazon.com/Angeles-Lakers-Mens-Primary-XX-Large/dp/B00P9H0C5C,NBA Men's Full Primary Logo Tee,4.4 out of 5 stars,8.97,34.99,https://images-na.ssl-images-amazon.com/images/I/415MV9tlw9L._SY300_.jpg,Los Angeles Lakers
https://www.amazon.com/Angeles-Lakers-Energy-Stripe-Cuffed/dp/B015EW0E9A,NBA Men's Energy Stripe Cuffed Knit Pom,4.7 out of 5 stars,22,22,https://images-na.ssl-images-amazon.com/images/I/51t968rZLXL._SY300_.jpg,Los Angeles Lakers
https://www.amazon.com/NBA-Lightweight-Fleece-Blanket-50/dp/B009IF0LVQ,"NBA Lightweight Fleece Blanket (50"" x 60"")",4.2 out of 5 stars,14.99,14.99,https://images-na.ssl-images-amazon.com/images/I/61m-wfxIfeL._SY300_.jpg,Los Angeles Lakers
https://www.amazon.com/Angeles-Lakers-47-Clean-Adjustable/dp/B00LHHI89K,"NBA Los Angeles Lakers '47 Clean Up Adjustable Hat, Black, One Size",3.6 out of 5 stars,21.99,21.99,https://images-na.ssl-images-amazon.com/images/I/41RWC%2BLHOoL._SY300_.jpg,Los Angeles Lakers
https://www.amazon.com/Angeles-Lakers-Primary-T-Shirt-2X-Large/dp/B003NR1JB6,Los Angeles Lakers Adidas Primary Logo Black T Shirt,4.6 out of 5 stars,24.95,24.95,https://images-na.ssl-images-amazon.com/images/I/419w8wt10%2BL._SY300_.jpg,Los Angeles Lakers
https://www.amazon.com/Knicks-Bracelet-Jewelry-Basketball-Perfect/dp/B019QUAVKI,"New York Knicks Bracelet, New York Knicks Jewelry, Basketball Bracelet, NBA Bracelet & Perfect Basketball Fan Gift",5.0 out of 5 stars,10,10,https://images-na.ssl-images-amazon.com/images/I/51srcyngSUL._SY300_.jpg,New York Knicks
https://www.amazon.com/Knicks-Primary-Sleeve-X-Large-Orange/dp/B010W03PPY,NBA Men's Full Primary Logo Long Sleeve Tee,4.3 out of 5 stars,15.84,27.95,https://images-na.ssl-images-amazon.com/images/I/51wTtjy6dCL._SY300_.jpg,New York Knicks
https://www.amazon.com/Knicks-Short-Sleeve-Shirt-Large/dp/B000ZHKS8W,NBA New York Knicks Short Sleeve T-Shirt,4.1 out of 5 stars,20.17,20.17,https://images-na.ssl-images-amazon.com/images/I/41Pffgh5PML._SX342_.jpg,New York Knicks
https://www.amazon.com/York-Knicks-47-Linesman-Royal/dp/B00XCAXWQ4,NBA '47 Linesman Cuff Knit Hat with Pom,4.6 out of 5 stars,24,24,https://images-na.ssl-images-amazon.com/images/I/51SK5dEkXfL._SY300_.jpg,New York Knicks
https://www.amazon.com/York-Knicks-Mens-Surface-Snapback/dp/B01BHJPHO6,NBA Men's Surface Snapback Hat,4.5 out of 5 stars,21.01,21.01,https://images-na.ssl-images-amazon.com/images/I/515ph4ti-xL._SY300_.jpg,New York Knicks
https://www.amazon.com/Chicago-Bulls-Primary-Sleeve-Large/dp/B00RY9S1DS,NBA Men's Full Primary Logo Long Sleeve Tee,4.3 out of 5 stars,15.84,27.95,https://images-na.ssl-images-amazon.com/images/I/41RxU1-80CL._SY300_.jpg,Chicago Bulls
https://www.amazon.com/UPSCALE-Chicago-Bulls-Inspired-Scallop/dp/B01ISIIGW4,UPSCALE Mens Chicago Bulls Inspired Scallop Tee,5.0 out of 5 stars,22.99,26.98,https://images-na.ssl-images-amazon.com/images/I/51E7bTez3-L._SY445_.jpg,Chicago Bulls
https://www.amazon.com/Chicago-Bulls-Energy-Stripe-Cuffed/dp/B015EVZQNA,NBA Men's Energy Stripe Cuffed Knit Pom,4.7 out of 5 stars,8.8,8.8,https://images-na.ssl-images-amazon.com/images/I/51ZI8ZofszL._SY300_.jpg,Chicago Bulls
https://www.amazon.com/NBA-Lightweight-Fleece-Blanket-50/dp/B00ATDC7JK,"NBA Lightweight Fleece Blanket (50"" x 60"")",4.2 out of 5 stars,14.99,14.99,https://images-na.ssl-images-amazon.com/images/I/51Q2FhYtkZL._SY300_.jpg,Chicago Bulls
https://www.amazon.com/NBA-Strapback-Unstructured-Baseball-Headwear/dp/B01KW2C3Q4,NBA Unisex Strapback Unstructured Baseball Cap Hat Headwear,3.0 out of 5 stars,14.54,14.54,https://images-na.ssl-images-amazon.com/images/I/41MWjkf51XL._SX342_.jpg,Chicago Bulls
https://www.amazon.com/Infinity-Collection-Golden-Warriors-Bracelet/dp/B019QTZ000,"Golden State Warriors Bracelet, Golden State Warriors Jewelry, Basketball Bracelet, NBA Bracelet & Perfect Basketball Fan Gift",4.1 out of 5 stars,11.5,11.5,https://images-na.ssl-images-amazon.com/images/I/51nxrURjfQL._SY300_.jpg,Golden State Warriors
https://www.amazon.com/Golden-State-Warriors-Primary-XX-Large/dp/B00U9ZMXLA,NBA Men's Full Primary Logo Tee,4.4 out of 5 stars,8.97,34.99,https://images-na.ssl-images-amazon.com/images/I/41XnQa6FfML._SY300_.jpg,Golden State Warriors
https://www.amazon.com/Golden-Warriors-Printed-50-inch-60-inch/dp/B00JEP5WCS,NBA Hard Knocks Printed Fleece Throw,4.1 out of 5 stars,17.99,17.99,https://images-na.ssl-images-amazon.com/images/I/41FCT1bdNhL._SY300_.jpg,Golden State Warriors
https://www.amazon.com/Golden-State-Warriors-Argyle-Dress/dp/B01HWB0LMG,For Bare Feet Unisex Sport Team Argyle Lineup Socks,3.5 out of 5 stars,11.99,11.99,https://images-na.ssl-images-amazon.com/images/I/41CDCCTvbRL._SX342_.jpg,Golden State Warriors
https://www.amazon.com/Golden-Warriors-Energy-Stripe-Cuffed/dp/B015EW05GW,NBA Men's Energy Stripe Cuffed Knit Pom,4.7 out of 5 stars,22,22,https://images-na.ssl-images-amazon.com/images/I/51Rqd1l2ipL._SY300_.jpg,Golden State Warriors
https://www.amazon.com/Bracelet-Antonio-Jewelry-Basketball-Perfect/dp/B019O1DDT0,"Spurs Bracelet, San Antonio Spurs Jewelry, Basketball Bracelet, NBA Bracelet & Perfect Gift",4.2 out of 5 stars,12.5,12.5,https://images-na.ssl-images-amazon.com/images/I/51FQMx8ZBRL._SY300_.jpg,San Antonio Spurs
https://www.amazon.com/Antonio-1989-00-Weathered-Sleeve-T-Shirt/dp/B01598IUBI,NBA Men's Majestic Weathered Post Up Short Sleeve Basic Crew Neck T-Shirt,3.8 out of 5 stars,6.18,300,https://images-na.ssl-images-amazon.com/images/I/41Vd8Ri0%2BzL._SY300_.jpg,San Antonio Spurs
